id,job_geo_coordinate,Latitude,Longitude,installers_required,expected_job_time,est_installation_date,installation_date,arrival_start_time,arrival_end_time,installer_ids
70495,"-34.9487492,138.9842349",-34.9487492,138.9842349,1,60.0,24/01/2023,,,,
70566,"-34.9009458,138.6297647",-34.9009458,138.6297647,1,60.0,14/01/2023,,,,
70591,"-35.1319129,138.5004589",-35.1319129,138.5004589,1,60.0,14/01/2023,,,,
70681,"-34.9475793,138.6444095",-34.9475793,138.6444095,1,90.0,24/01/2023,,,,
70682,"-34.9487978,138.6498683",-34.9487978,138.6498683,1,90.0,14/01/2023,,,,
70705,"-34.8661618,138.6994996",-34.8661618,138.6994996,1,60.0,24/01/2023,,,,
70759,"-34.0666148,150.8195571",-34.0666148,150.8195571,1,30.0,24/01/2023,,,,
70768,"-33.1850474,138.0234205",-33.1850474,138.0234205,1,300.0,24/01/2023,,,,
70784,"-34.9287987,138.6092996",-34.9287987,138.6092996,1,30.0,14/01/2023,,,,
70825,"-34.8847309,138.6721202",-34.8847309,138.6721202,1,120.0,14/01/2023,,,,
70830,"-34.8849171,138.6896017",-34.8849171,138.6896017,1,240.0,26/01/2023,,,,
70871,"-34.8772027,138.6625642",-34.8772027,138.6625642,1,105.0,26/01/2023,,,,
70886,"-34.9699294,138.5533336",-34.9699294,138.5533336,1,120.0,14/01/2023,,,,
70887,"-34.8233571,138.6321373",-34.8233571,138.6321373,1,60.0,26/01/2023,,,,
70895,"-34.8531802,138.6163567",-34.8531802,138.6163567,1,120.0,27/01/2023,,,,
70912,"-35.4250245,138.3265853",-35.4250245,138.3265853,1,150.0,14/01/2023,,,,
70920,"-34.8307492,138.7029293",-34.8307492,138.7029293,1,60.0,14/01/2023,,,,
71018,"-34.6846936,138.6556253",-34.6846936,138.6556253,1,120.0,28/01/2023,,,,
71069,"-34.878409,138.5853056",-34.878409,138.5853056,1,240.0,14/01/2023,,,,
71079,"-34.8619469,138.5693075",-34.8619469,138.5693075,1,90.0,29/01/2023,,,,
71081,"-34.8777825,138.6378986",-34.8777825,138.6378986,1,60.0,29/01/2023,,,,
71097,"-34.8727383,138.6442177",-34.8727383,138.6442177,1,90.0,14/01/2023,,,,
71146,"-34.8731752,138.6810188",-34.8731752,138.6810188,1,30.0,29/01/2023,,,,
71152,"-34.8981777,138.6713789",-34.8981777,138.6713789,1,15.0,29/01/2023,,,,
71163,"-34.8734901,138.6863838",-34.8734901,138.6863838,1,60.0,29/01/2023,,,,
71195,"-34.9046547,138.6889646",-34.9046547,138.6889646,1,150.0,29/01/2023,,,,
71198,"-34.9740402,138.6067672",-34.9740402,138.6067672,1,60.0,29/01/2023,,,,
71248,"-34.8770142,138.7044975",-34.8770142,138.7044975,1,60.0,01/02/2023,,,,
71264,"-35.0348517,138.6197426",-35.0348517,138.6197426,1,60.0,14/01/2023,,,,
71270,"-34.8854663,138.5061722",-34.8854663,138.5061722,1,60.0,14/01/2023,,,,
71273,"-34.9350702,138.6498142",-34.9350702,138.6498142,1,60.0,14/01/2023,,,,
71305,"-34.8671483,138.6286293",-34.8671483,138.6286293,1,30.0,01/02/2023,,,,
71318,"-34.6819442,138.6836641",-34.6819442,138.6836641,1,60.0,01/02/2023,,,,
71323,"-34.6819442,138.6836641",-34.6819442,138.6836641,1,60.0,01/02/2023,,,,
71374,"-34.8815709,138.6713833",-34.8815709,138.6713833,1,120.0,14/01/2023,,,,
71385,"-34.8810472,138.6727326",-34.8810472,138.6727326,1,60.0,02/02/2023,,,,
71411,"-34.8425848,138.716613",-34.8425848,138.716613,1,60.0,02/02/2023,,,,
71413,"-34.9249369,138.6018562",-34.9249369,138.6018562,1,300.0,14/01/2023,,,,
71430,"-34.8885103,138.6250079",-34.8885103,138.6250079,1,30.0,02/02/2023,,,,
71451,"-34.7705843,138.7344186",-34.7705843,138.7344186,1,60.0,14/01/2023,,,,
71481,"-35.0863065,138.8394378",-35.0863065,138.8394378,1,90.0,03/02/2023,,,,
71498,"-34.9188593,138.6574399",-34.9188593,138.6574399,1,30.0,03/02/2023,,,,
71516,"-34.9225441,138.6440962",-34.9225441,138.6440962,1,240.0,14/01/2023,,,,
71616,"-34.8985678,138.6783861",-34.8985678,138.6783861,1,60.0,04/02/2023,,,,
71666,"-34.8996807,138.6899366",-34.8996807,138.6899366,1,60.0,05/02/2023,,,,
71691,"-34.956789,138.6486",-34.956789,138.6486,1,150.0,05/02/2023,,,,
71692,"-34.8854663,138.5061722",-34.8854663,138.5061722,1,60.0,14/01/2023,,,,
71710,"-34.9833229,138.5839169",-34.9833229,138.5839169,1,60.0,05/02/2023,,,,
71730,"-34.7967566,138.7060069",-34.7967566,138.7060069,1,60.0,05/02/2023,,,,
71742,"-34.8447459,138.6959711",-34.8447459,138.6959711,1,,05/02/2023,,,,
