id,job_geo_coordinate,lat,long,installers_required,expected_job_time,est_installation_date,installation_date,arrival_start_time,arrival_end_time,installer_ids,cluster,centroid
66917,"-35.2702183,138.448406",-35.2702183,138.448406,1,60.0,2023-01-15,,,,,7,"-35.2702183,138.448406"
2658,"-34.9780028,138.6156444",-34.9780028,138.6156444,2,180.0,2023-01-15,,,,,0,"-34.9833229,138.5839169"
2776,"-34.8968945,138.6811783",-34.8968945,138.6811783,1,120.0,2023-01-16,,,,,10,"-34.8968945,138.6811783"
65956,"-34.8794922,138.6905619",-34.8794922,138.6905619,1,334.8,2023-01-16,,,,,10,"-34.8968945,138.6811783"
65799,"-34.9378933,138.6531826",-34.9378933,138.6531826,1,210.0,2023-01-16,,,,,9,"-34.9320234,138.6351679"
2773,"-34.9254255,138.610603",-34.9254255,138.610603,1,120.0,2023-01-16,,,,,9,"-34.9320234,138.6351679"
2705,"-34.8220291,138.7226326",-34.8220291,138.7226326,1,240.0,2023-01-16,,,,,17,"-34.7996109,138.7078888"
2745,"-34.8531802,138.6163567",-34.8531802,138.6163567,1,120.0,2023-01-16,,,,,19,"-34.8848132,138.6141255"
2719,"-34.9223373,138.6722414",-34.9223373,138.6722414,1,180.0,2023-01-16,,,,,10,"-34.8968945,138.6811783"
2769,"-34.9557963,138.8817805",-34.9557963,138.8817805,1,6.0,2023-01-16,,,,,5,"-34.9487492,138.9842349"
67308,"-34.931937,138.6142236",-34.931937,138.6142236,1,90.0,2023-01-20,,,,,9,"-34.9320234,138.6351679"
67376,"-34.9564762,138.5742551",-34.9564762,138.5742551,1,60.0,2023-01-20,,,,,0,"-34.9833229,138.5839169"
67290,"-34.8838335,138.6829783",-34.8838335,138.6829783,1,60.0,2023-01-20,,,,,10,"-34.8968945,138.6811783"
66850,"-34.9740402,138.6067672",-34.9740402,138.6067672,1,60.0,2023-01-20,,,,,0,"-34.9833229,138.5839169"
67105,"-35.0284197,138.5700229",-35.0284197,138.5700229,1,90.0,2023-01-20,,,,,0,"-34.9833229,138.5839169"
66013,"-34.855342,138.4797669",-34.855342,138.4797669,1,30.0,2023-01-20,,,,,11,"-34.8361309,138.4968655"
66320,"-34.8848132,138.6141255",-34.8848132,138.6141255,1,120.0,2023-01-20,,,,,19,"-34.8848132,138.6141255"
66778,"-34.8893712,138.6904293",-34.8893712,138.6904293,1,90.0,2023-01-20,,,,,10,"-34.8968945,138.6811783"
66782,"-34.9616889,138.6368712",-34.9616889,138.6368712,1,120.0,2023-01-20,,,,,9,"-34.9320234,138.6351679"
66190,"-34.9833229,138.5839169",-34.9833229,138.5839169,1,60.0,2023-01-20,,,,,0,"-34.9833229,138.5839169"
66998,"-34.8933724,138.6731038",-34.8933724,138.6731038,1,60.0,2023-01-20,,,,,10,"-34.8968945,138.6811783"
67033,"-34.8627447,138.6962206",-34.8627447,138.6962206,1,120.0,2023-01-20,,,,,10,"-34.8968945,138.6811783"
67170,"-34.87802,138.5587667",-34.87802,138.5587667,1,60.0,2023-01-20,,,,,14,"-34.9007279,138.5199928"
69690,"-34.8689002,138.7036742",-34.8689002,138.7036742,2,240.0,2023-01-21,,,,,10,"-34.8968945,138.6811783"
69612,"-34.8409268,138.6555523",-34.8409268,138.6555523,1,60.0,2023-01-21,,,,,4,"-34.8409268,138.6555523"
69433,"-34.8429991,138.507791",-34.8429991,138.507791,1,30.0,2023-01-21,,,,,11,"-34.8361309,138.4968655"
69278,"-34.8361309,138.4968655",-34.8361309,138.4968655,1,60.0,2023-01-21,,,,,11,"-34.8361309,138.4968655"
69079,"-35.5028883,138.7837286",-35.5028883,138.7837286,1,60.0,2023-01-21,,,,,13,"-35.5028883,138.7837286"
70106,"-34.9608433,138.6173157",-34.9608433,138.6173157,1,240.0,2023-01-22,,,,,9,"-34.9320234,138.6351679"
70101,"-34.8923204,138.6910519",-34.8923204,138.6910519,1,60.0,2023-01-22,,,,,10,"-34.8968945,138.6811783"
69754,"-34.928316,138.5012011",-34.928316,138.5012011,1,60.0,2023-01-22,,,,,14,"-34.9007279,138.5199928"
70681,"-34.9475793,138.6444095",-34.9475793,138.6444095,1,90.0,2023-01-24,,,,,9,"-34.9320234,138.6351679"
70705,"-34.8661618,138.6994996",-34.8661618,138.6994996,1,60.0,2023-01-24,,,,,10,"-34.8968945,138.6811783"
70759,"-34.0666148,150.8195571",-34.0666148,150.8195571,1,30.0,2023-01-24,,,,,1,"-34.0666148,150.8195571"
70768,"-33.1850474,138.0234205",-33.1850474,138.0234205,1,300.0,2023-01-24,,,,,6,"-33.1850474,138.0234205"
70339,"-34.8284025,138.6663098",-34.8284025,138.6663098,1,120.0,2023-01-24,,,,,4,"-34.8409268,138.6555523"
70495,"-34.9487492,138.9842349",-34.9487492,138.9842349,1,60.0,2023-01-24,,,,,5,"-34.9487492,138.9842349"
70406,"-34.9804833,138.5812658",-34.9804833,138.5812658,1,90.0,2023-01-24,,,,,0,"-34.9833229,138.5839169"
70871,"-34.8772027,138.6625642",-34.8772027,138.6625642,1,105.0,2023-01-26,,,,,10,"-34.8968945,138.6811783"
70887,"-34.8233571,138.6321373",-34.8233571,138.6321373,1,60.0,2023-01-26,,,,,4,"-34.8409268,138.6555523"
70830,"-34.8849171,138.6896017",-34.8849171,138.6896017,1,240.0,2023-01-26,,,,,10,"-34.8968945,138.6811783"
70895,"-34.8531802,138.6163567",-34.8531802,138.6163567,1,120.0,2023-01-27,,,,,19,"-34.8848132,138.6141255"
71018,"-34.6846936,138.6556253",-34.6846936,138.6556253,1,120.0,2023-01-28,,,,,12,"-34.6825781,138.6693345"
71163,"-34.8734901,138.6863838",-34.8734901,138.6863838,1,60.0,2023-01-29,,,,,10,"-34.8968945,138.6811783"
71195,"-34.9046547,138.6889646",-34.9046547,138.6889646,1,150.0,2023-01-29,,,,,10,"-34.8968945,138.6811783"
71198,"-34.9740402,138.6067672",-34.9740402,138.6067672,1,60.0,2023-01-29,,,,,0,"-34.9833229,138.5839169"
71152,"-34.8981777,138.6713789",-34.8981777,138.6713789,1,15.0,2023-01-29,,,,,10,"-34.8968945,138.6811783"
71079,"-34.8619469,138.5693075",-34.8619469,138.5693075,1,90.0,2023-01-29,,,,,19,"-34.8848132,138.6141255"
71081,"-34.8777825,138.6378986",-34.8777825,138.6378986,1,60.0,2023-01-29,,,,,19,"-34.8848132,138.6141255"
71146,"-34.8731752,138.6810188",-34.8731752,138.6810188,1,30.0,2023-01-29,,,,,10,"-34.8968945,138.6811783"
71305,"-34.8671483,138.6286293",-34.8671483,138.6286293,1,30.0,2023-02-01,,,,,19,"-34.8848132,138.6141255"
71318,"-34.6819442,138.6836641",-34.6819442,138.6836641,1,60.0,2023-02-01,,,,,12,"-34.6825781,138.6693345"
71323,"-34.6819442,138.6836641",-34.6819442,138.6836641,1,60.0,2023-02-01,,,,,12,"-34.6825781,138.6693345"
71248,"-34.8770142,138.7044975",-34.8770142,138.7044975,1,60.0,2023-02-01,,,,,10,"-34.8968945,138.6811783"
71411,"-34.8425848,138.716613",-34.8425848,138.716613,1,60.0,2023-02-02,,,,,17,"-34.7996109,138.7078888"
71430,"-34.8885103,138.6250079",-34.8885103,138.6250079,1,30.0,2023-02-02,,,,,19,"-34.8848132,138.6141255"
71385,"-34.8810472,138.6727326",-34.8810472,138.6727326,1,60.0,2023-02-02,,,,,10,"-34.8968945,138.6811783"
71498,"-34.9188593,138.6574399",-34.9188593,138.6574399,1,30.0,2023-02-03,,,,,9,"-34.9320234,138.6351679"
71481,"-35.0863065,138.8394378",-35.0863065,138.8394378,1,90.0,2023-02-03,,,,,15,"-35.0863065,138.8394378"
71616,"-34.8985678,138.6783861",-34.8985678,138.6783861,1,60.0,2023-02-04,,,,,10,"-34.8968945,138.6811783"
71566,"-34.8194202,138.9595545",-34.8194202,138.9595545,2,240.0,2023-02-04,,,,,5,"-34.9487492,138.9842349"
71666,"-34.8996807,138.6899366",-34.8996807,138.6899366,1,60.0,2023-02-05,,,,,10,"-34.8968945,138.6811783"
71710,"-34.9833229,138.5839169",-34.9833229,138.5839169,1,60.0,2023-02-05,,,,,0,"-34.9833229,138.5839169"
71730,"-34.7967566,138.7060069",-34.7967566,138.7060069,1,60.0,2023-02-05,,,,,17,"-34.7996109,138.7078888"
71742,"-34.8447459,138.6959711",-34.8447459,138.6959711,1,,2023-02-05,,,,,4,"-34.8409268,138.6555523"
71842,"-34.9274342,138.6020127",-34.9274342,138.6020127,2,240.0,2023-02-05,,,,,9,"-34.9320234,138.6351679"
71691,"-34.956789,138.6486",-34.956789,138.6486,1,150.0,2023-02-05,,,,,9,"-34.9320234,138.6351679"
